QB,RB,RB,WR,WR,WR,TE,FLEX,DST,QB Team ,RB Team ,RB Team ,WR Team ,WR Team ,WR Team ,TE Team ,FLEX Team ,DST Team ,QB Salary ,RB Salary ,RB Salary ,WR Salary ,WR Salary ,WR Salary ,TE Salary ,FLEX Salary ,DST Salary ,Projected Value,Scenario,Iteration
Dak Prescott,Mark Ingram,LeSean McCoy,Jarvis Landry,Demaryius Thomas,Marqise Lee,Eric Ebron,Devonta Freeman,Vikings,DAL,NO,BUF,MIA,DEN,JAX,DET,ATL,MIN,6200,4600,8400,6500,6300,4500,3100,7300,3100,122.94,Scenario2,10
Matt Ryan,Leonard Fournette,Frank Gore,Jarvis Landry,T.Y. Hilton,Emmanuel Sanders,Eric Ebron,LeSean McCoy,Chargers,ATL,JAX,IND,MIA,IND,DEN,DET,BUF,LAC,7400,6700,4000,6500,5300,6100,3100,8400,2500,122.44,Scenario2,11
Matt Ryan,Todd Gurley II,Leonard Fournette,Demaryius Thomas,Alshon Jeffery,T.Y. Hilton,Jared Cook,Mark Ingram,Raiders,ATL,LAR,JAX,DEN,PHI,IND,OAK,NO,OAK,7400,7800,6700,6300,6200,5300,3400,4600,2300,122.21,Scenario2,12
Matt Ryan,Joe Mixon,Frank Gore,Mike Evans,Michael Thomas,Marqise Lee,Evan Engram,LeSean McCoy,Raiders,ATL,CIN,IND,TB,NO,JAX,NYG,BUF,OAK,7400,5700,4000,7400,7300,4500,3000,8400,2300,120.61,Scenario2,13
Tom Brady,Todd Gurley II,Jacquizz Rodgers,Michael Thomas,Jarvis Landry,Alshon Jeffery,Eric Ebron,Frank Gore,Lions,NE,LAR,TB,NO,MIA,PHI,DET,IND,DET,8000,7800,4400,7300,6500,6200,3100,4000,2700,119.76,Scenario2,14
Dak Prescott,Leonard Fournette,Jacquizz Rodgers,Mike Evans,Alshon Jeffery,Tyrell Williams,Charles Clay,LeSean McCoy,Chargers,DAL,JAX,TB,TB,PHI,LAC,BUF,BUF,LAC,6200,6700,4400,7400,6200,4400,3700,8400,2500,118.6,Scenario2,15
Tom Brady,Todd Gurley II,Leonard Fournette,Mike Evans,Tyrell Williams,Ted Ginn Jr.,Jared Cook,Joe Mixon,Lions,NE,LAR,JAX,TB,LAC,NO,OAK,CIN,DET,8000,7800,6700,7400,4400,3900,3400,5700,2700,117.94,Scenario2,16
Russell Wilson,Todd Gurley II,DeMarco Murray,Alshon Jeffery,Golden Tate,Emmanuel Sanders,Jared Cook,Jacquizz Rodgers,Chargers,SEA,LAR,TEN,PHI,DET,DEN,OAK,TB,LAC,7300,7800,6000,6200,6300,6100,3400,4400,2500,117.69,Scenario2,17
Russell Wilson,Todd Gurley II,Joe Mixon,Michael Thomas,Dez Bryant,Tyrell Williams,Charles Clay,Isaiah Crowell,Chargers,SEA,LAR,CIN,NO,DAL,LAC,BUF,CLE,LAC,7300,7800,5700,7300,6500,4400,3700,4800,2500,117.15,Scenario2,18
Tom Brady,DeMarco Murray,Joe Mixon,Michael Thomas,Alshon Jeffery,Emmanuel Sanders,Charles Clay,Ted Ginn Jr.,Vikings,NE,TEN,CIN,NO,PHI,DEN,BUF,NO,MIN,8000,6000,5700,7300,6200,6100,3700,3900,3100,116.78,Scenario2,19
Dak Prescott,DeMarco Murray,Isaiah Crowell,Michael Thomas,Dez Bryant,Golden Tate,Kyle Rudolph,Emmanuel Sanders,Lions,DAL,TEN,CLE,NO,DAL,DET,MIN,DEN,DET,6200,6000,4800,7300,6500,6300,4100,6100,2700,115.98,Scenario2,20
Russell Wilson,Melvin Gordon,DeMarco Murray,Odell Beckham Jr.,Golden Tate,Tyrell Williams,Charles Clay,Ted Ginn Jr.,Cowboys,SEA,LAC,TEN,NYG,DET,LAC,BUF,NO,DAL,7300,7000,6000,8900,6300,4400,3700,3900,2500,115.39,Scenario2,21
Russell Wilson,Melvin Gordon,Isaiah Crowell,Doug Baldwin,DeAndre Hopkins,Emmanuel Sanders,Kyle Rudolph,Ted Ginn Jr.,Bengals,SEA,LAC,CLE,SEA,HOU,DEN,MIN,NO,CIN,7300,7000,4800,6900,6400,6100,4100,3900,3500,114.96,Scenario2,22
Russell Wilson,Melvin Gordon,Isaiah Crowell,Keenan Allen,Dez Bryant,Golden Tate,Antonio Gates,Rishard Matthews,Vikings,SEA,LAC,CLE,LAC,DAL,DET,LAC,TEN,MIN,7300,7000,4800,7200,6500,6300,2900,4900,3100,114.23,Scenario2,23
Dak Prescott,Melvin Gordon,Isaiah Crowell,Odell Beckham Jr.,Dez Bryant,Ted Ginn Jr.,Jimmy Graham,Lamar Miller,Broncos,DAL,LAC,CLE,NYG,DAL,NO,SEA,HOU,DEN,6200,7000,4800,8900,6500,3900,4900,4500,3300,113.83,Scenario2,24
Dak Prescott,Melvin Gordon,Lamar Miller,Keenan Allen,Golden Tate,DeAndre Hopkins,Coby Fleener,Pierre Garcon,Bengals,DAL,LAC,HOU,LAC,DET,HOU,NO,SF,CIN,6200,7000,4500,7200,6300,6400,3400,5500,3500,113.67,Scenario2,25
Blake Bortles,Lamar Miller,Duke Johnson Jr.,Odell Beckham Jr.,Keenan Allen,Dez Bryant,Kyle Rudolph,DeAndre Hopkins,Cowboys,JAX,HOU,CLE,NYG,LAC,DAL,MIN,HOU,DAL,5300,4500,4500,8900,7200,6500,4100,6400,2500,112.79,Scenario2,26
Carson Palmer,Christian McCaffrey,Chris Carson,Keenan Allen,Doug Baldwin,DeAndre Hopkins,Kyle Rudolph,Marvin Jones Jr.,Vikings,ARI,CAR,SEA,LAC,SEA,HOU,MIN,DET,MIN,6100,6800,5400,7200,6900,6400,4100,4000,3100,111.84,Scenario2,27
Blake Bortles,LeGarrette Blount,Christian McCaffrey,Odell Beckham Jr.,Doug Baldwin,DeAndre Hopkins,Coby Fleener,Rishard Matthews,Bengals,JAX,PHI,CAR,NYG,SEA,HOU,NO,TEN,CIN,5300,3900,6800,8900,6900,6400,3400,4900,3500,111.73,Scenario2,28
Carson Palmer,Terrance West,Lamar Miller,Odell Beckham Jr.,Jordan Matthews,Keenan Allen,Jimmy Graham,Doug Baldwin,Bengals,ARI,BAL,HOU,NYG,BUF,LAC,SEA,SEA,CIN,6100,4100,4500,8900,3900,7200,4900,6900,3500,111.61,Scenario2,29
Blake Bortles,Le'Veon Bell,Lamar Miller,Brandin Cooks,Doug Baldwin,Rishard Matthews,Jimmy Graham,Kyle Rudolph,Vikings,JAX,PIT,HOU,NE,SEA,TEN,SEA,MIN,MIN,5300,8700,4500,7600,6900,4900,4900,4100,3100,110.66,Scenario2,30
Carson Palmer,Le'Veon Bell,Christian McCaffrey,Brandin Cooks,Pierre Garcon,Rishard Matthews,Coby Fleener,Duke Johnson Jr.,Cowboys,ARI,PIT,CAR,NE,SF,TEN,NO,CLE,DAL,6100,8700,6800,7600,5500,4900,3400,4500,2500,109.78,Scenario2,31
Blake Bortles,Le'Veon Bell,Christian McCaffrey,Sammy Watkins,Pierre Garcon,Marvin Jones Jr.,Jimmy Graham,Chris Carson,Patriots,JAX,PIT,CAR,LAR,SF,DET,SEA,SEA,NE,5300,8700,6800,5900,5500,4000,4900,5400,3400,109.48,Scenario2,32
Blake Bortles,Le'Veon Bell,Christian McCaffrey,Jordan Matthews,Rishard Matthews,DeSean Jackson,Zach Ertz,C.J. Anderson,Broncos,JAX,PIT,CAR,BUF,TEN,TB,PHI,DEN,DEN,5300,8700,6800,3900,4900,5200,6300,5600,3300,108.83,Scenario2,33
Carson Palmer,Le'Veon Bell,Chris Carson,Jordan Matthews,Brandin Cooks,Mohamed Sanu,Zach Ertz,Marvin Jones Jr.,Cardinals,ARI,PIT,SEA,BUF,NE,ATL,PHI,DET,ARI,6100,8700,5400,3900,7600,4800,6300,4000,3200,108.53,Scenario2,34
