Id,Name,Position,Team,Salary,Projected,Scored,Override,Alerts
85163,C.J. Anderson,RB,DEN,7200,15.08,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1|ThumbDown:1|VegasGood:1
85164,Ty Montgomery,RB,GB,5500,14.98,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1
85165,Austin Seferian-Jenkins,TE,NYJ,5000,12.6,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1|ThumbDown:1
85175,Dede Westbrook,WR,JAX,3000,0,0,0,Injured:1
85176,Broncos ,DST,DEN,3500,7.57,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1
85178,Terrelle Pryor Sr.,WR,WAS,5300,14.41,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1
85183,Ed Eagan,WR,NYG,3300,0,0,0,PlayerMatchupIsBad:1
85184,Brittan Golden,WR,ARI,3000,0,0,0,
85188,Matthew Dayes,RB,CLE,3000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
85192,Dion Sims,TE,CHI,2600,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsGood:1
85204,Kenjon Barner,RB,PHI,3600,3.47,0,0,ExpectedStarter:1|ThumbDown:1
85205,Falcons ,DST,ATL,2100,4.77,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
85207,Rex Burkhead,RB,NE,3800,0,0,0,Injured:1
85210,Matt Cassel,QB,TEN,5000,0,0,0,PlayerMatchupIsGreat:1
85214,Matt Breida,RB,SF,4400,7.02,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|StarBad:1
85215,Marcus Johnson,WR,PHI,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1
85220,Sterling Shepard,WR,NYG,5200,0,0,0,PlayerMatchupIsBad:1|Injured:1
85221,Panthers ,DST,CAR,3600,6.8,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsGreat:1
85229,Tre Madden,RB,SEA,3000,0,0,0,PlayerMatchupIsBad:1
85232,Bobby Rainey,RB,BAL,3000,0,0,0,PlayerMatchupIsBad:1
85238,Beau Brinkley,TE,TEN,2500,0,0,0,PlayerMatchupIsGreat:1
85243,Derrick Henry,RB,TEN,5500,11.27,0,0,ExpectedStarter:1|PlayerMatchupIsGood:2
85255,Brandon Coleman,WR,NO,3300,5.78,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1|VegasBad:1|StarBad:1
85256,Evan Engram,TE,NYG,4400,10.35,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|StarBad:1
85265,Jordan Taylor,WR,DEN,3000,0,0,0,PlayerMatchupIsHorribad:1
85266,Zach Miller,TE,CHI,3200,9.16,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsGood:1
85272,David Fluellen,RB,TEN,3000,0,0,0,PlayerMatchupIsGood:2
85282,Kelvin Benjamin,WR,CAR,6900,15.95,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1
85283,Eli Rogers,WR,PIT,3000,0,0,0,PlayerMatchupIsHorribad:1|PlayerMatchupIsBad:1|ThumbUp:1
85288,Brian Hoyer,QB,SF,4800,9.81,0,0,ExpectedStarter:1|PlayerMatchupIsGood:2|VegasBad:1|StarGood:1
85290,Chiefs ,DST,KC,2800,8.09,0,0,ExpectedStarter:1|PlayerMatchupIsBad:2
85294,Willie Snead,WR,NO,4000,9.01,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1|VegasBad:1|StarGood:1
85296,Mack Brown,RB,WAS,3000,0,0,0,PlayerMatchupIsHorribad:1
85297,Eric Tomlinson,TE,NYJ,2500,0,0,0,PlayerMatchupIsGood:1|PlayerMatchupIsGreat:1
85301,Drew Stanton,QB,ARI,4000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsGreat:1
85304,Charles Sims,RB,TB,3500,0,0,0,PlayerMatchupIsGood:2
85305,Jordan Matthews,WR,BUF,3700,0,0,0,PlayerMatchupIsGood:1
85311,Tevin Coleman,RB,ATL,4800,11.65,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
85312,Kaelin Clay,WR,BUF,3000,2.48,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1
85313,Patrick Mahomes II,QB,KC,4700,0,0,0,PlayerMatchupIsBad:2
85316,LeSean McCoy,RB,BUF,7400,20.78,0,0,ExpectedStarter:1|StarGood:1
85317,Michael Burton,RB,CHI,3000,0,0,0,PlayerMatchupIsHorribad:1
85318,Alex Armah,RB,CAR,3000,0,0,0,PlayerMatchupIsGood:2
85319,Tyler Ott,TE,SEA,2500,0,0,0,PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1
85325,D.J. Foster,RB,ARI,3000,0,0,0,
85330,Curtis Samuel,WR,CAR,3700,0,0,0,PlayerMatchupIsHorribad:1
85331,Xavier Grimble,TE,PIT,2500,0,0,0,PlayerMatchupIsGreat:1|PlayerMatchupIsBad:1
85332,Bears ,DST,CHI,2200,5.48,0,0,ExpectedStarter:1|PlayerMatchupIsGood:1
85345,Tra Carson,RB,CIN,3000,0,0,0,Injured:1
85355,Aldrick Robinson,WR,SF,3700,6.89,0,0,ExpectedStarter:1
85356,Redskins ,DST,WAS,2400,5.94,0,0,ExpectedStarter:1
85361,Davis Webb,QB,NYG,4000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
