"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Travis Kelce",6100,"PIT@KC 04:25PM ET",16.600,"KC"
"WR","Emmanuel Sanders",6100,"NYG@DEN 08:30PM ET",12.750,"DEN"
"QB","Sam Bradford",6000,"GB@MIN 01:00PM ET",14.990,"MIN"
"WR","Adam Thielen",6000,"GB@MIN 01:00PM ET",14.060,"MIN"
"RB","Bilal Powell",6000,"NE@NYJ 01:00PM ET",11.840,"NYJ"
"WR","Demaryius Thomas",6000,"NYG@DEN 08:30PM ET",10.675,"DEN"
"RB","Christian McCaffrey",5900,"PHI@CAR 08:25PM ET",13.660,"CAR"
"RB","Jordan Howard",5900,"CHI@BAL 01:00PM ET",14.720,"CHI"
"WR","Randall Cobb",5900,"GB@MIN 01:00PM ET",12.950,"GB"
"QB","Derek Carr",5900,"LAC@OAK 04:25PM ET",14.205,"OAK"
"WR","DeSean Jackson",5800,"TB@ARI 04:05PM ET",11.975,"TB"
"RB","Doug Martin",5800,"TB@ARI 04:05PM ET",15.200,"TB"
"WR","Michael Crabtree",5800,"LAC@OAK 04:25PM ET",17.050,"OAK"
"QB","Jacoby Brissett",5800,"IND@TEN 08:30PM ET",14.636,"IND"
"RB","Jay Ajayi",5700,"MIA@ATL 01:00PM ET",9.350,"MIA"
"WR","Davante Adams",5700,"GB@MIN 01:00PM ET",15.100,"GB"
"WR","Terrelle Pryor Sr.",5700,"SF@WAS 01:00PM ET",9.400,"WAS"
"QB","Ben Roethlisberger",5700,"PIT@KC 04:25PM ET",13.872,"PIT"
"QB","Andrew Luck",5700,"IND@TEN 08:30PM ET",0,"IND"
"QB","Derek Anderson",5600,"PHI@CAR 08:25PM ET",0.680,"CAR"
"RB","Aaron Jones",5600,"GB@MIN 01:00PM ET",8.575,"GB"
"WR","Danny Amendola",5600,"NE@NYJ 01:00PM ET",14.675,"NE"
"RB","Mike Gillislee",5500,"NE@NYJ 01:00PM ET",9.720,"NE"
"QB","Jimmy Garoppolo",5500,"NE@NYJ 01:00PM ET",0,"NE"
