"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_pct_pyb","l5g_avg_tdr","l5g_avg_ra","l5g_avg_ry","l5g_pct_ryb","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_avg_tdrec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
8.7,0,"1",12.1,5.66666666666667,0,0,16.3333333333333,49.3333333333333,0,18,2,0,0,27.75,168.25,174.75,1,1.75
20.8,0,"1",20.05,9.5,0,0,19,52.5,0,0,0,0,0,16.6,84.8,166.8,0.6,2.4
30.3,1,"1",23.45,4,0,0.5,20,90.5,0.5,27,2,0,0,23.4,111,218.8,1.8,2.6
17,0,"1",25.55,1,0,1.5,19.5,112,1,8,1,0,0,25,113.5,223.75,0.25,2.5
19.3,0,"-1",15.48,1.6,0,0.6,19.4,85.8,0.6,39,5,0,0,21.6,162,186.2,0.8,3.8
21,1,"-1",15.18,2.6,0,0.6,18.6,71,0.4,38,4,0,0,13.75,124.5,193,0.25,3
16,0,"1",13.32,3.4,0,0.2,17.2,70.2,0.4,13,1,0,0,16.8,122,182,1.4,2.2
19.3,1,"1",13.12,3.4,0,0.4,16.8,61.2,0.2,44,7,0,0,24.2,153.8,198.8,1,1.6
10.9,1,"-1",15.88,5,0,0.4,16.8,66,0.2,27,4,0,0,23.8,35.6,254.4,2,1.6
15,0,"1",17.3,5.6,0,0.4,17.8,68.8,0.2,39,4,0,0,21.8,101.6,263,1.2,2.6
12.1,1,"1",7.83333333333333,2.33333333333333,0,0.333333333333333,11.6666666666667,40,0,32,5,0,0,15.5,62,222.75,0.5,1.25
15.1,0,"1",9.45,6,0,0,13.5,41.5,0,53,1,0,0,17.5,168.75,120.75,0,1.5
15.4,0,"1",7.175,1.75,0,0.25,8.75,40.75,0,7,1,0,0,20.6,92,212.2,0.6,1.2
12.2,1,"1",8.33333333333333,2,0,0,17.3333333333333,54.3333333333333,0,28,4,0,0,27.75,138.25,281.5,0.75,0.75
9.8,1,"1",9.3,3,0,0,18.5,54.25,0,25,2,0,0,20.4,130.2,182.6,0.6,2.8
8,0,"1",8.1,4,0,0,13.25,35.5,0,20,3,0,0,25.5,128.25,259.25,1.75,2.75
8,1,"1",7.5,3.75,0,0,10.75,34.25,0,12,1,0,0,29.5,133.75,234.5,0.5,1.25
7.6,1,"-1",6.45,2.5,0,0,8.25,35.25,0,-3,1,0,0,28.2,129.6,263.2,0,1.8
33.6,0,"1",7.775,1.75,0,0.25,10,38.75,0,15,4,0,0,22.5,75.5,162,0.5,2
7.3,0,"1",16.425,3.25,0,1,18.5,59,0,34,3,0,0,19,125.2,202,0.2,1.8
10.1,0,"1",5.05,1.5,0,0.25,5,16.75,0,33,5,0,0,28.6,156.6,212.2,0.8,1.6
12,1,"1",6.06,2.8,0,0.2,5.8,17,0,26,5,0,0,17.6,109.4,242.2,1,2.4
10.7,0,"1",6.14,3.4,0,0,5.8,17.8,0,38,4,0,0,24.6,146.2,245.6,0.4,1.6
12.6,1,"1",16.54,0.8,0,0.8,20,98.2,0.4,9,1,0,0,15.8,79.4,225.6,1,2.8
17,0,"1",14.74,1.2,0,0.6,17.6,88.4,0.4,10,2,0,0,18,99.2,250.2,0.6,2.4
7.6,1,"1",14.78,1.4,0,0.4,18,90.8,0.6,0,0,0,0,22,96.75,218.75,1,3.75
9.3,1,"1",10.775,1.25,0,0.25,16,75.5,0.25,7,1,0,0,30.5,132.25,245.25,0.5,1.75
20.3,0,"1",9.95,1,0,0,17,82.75,0.25,0,0,0,0,21,109.6,241.2,0.8,2
14.4,1,"1",10.775,0.5,0,0.25,17.5,81,0.25,0,0,0,0,22.25,95.25,251.5,1.25,3.25
20.9,1,"1",12.9,0.5,0,0.25,19.75,97.25,0.5,0,0,0,0,16.2,101.8,232,1,3
23.3,0,"1",16.225,0.5,0,0.5,22.25,110.5,0.75,6,2,0,0,15.25,94.25,231,1.5,3.5
17.8,0,"1",17.64,0.8,0,0.8,23.2,105.8,0.6,17,1,0,0,30.8,142,209,0.4,2.8
44.2,1,"1",19.34,0.8,0,1,23.6,108.8,0.6,12,2,0,0,29.6,132.8,298,0.4,2.8
14.1,0,"1",12.2,1,0,0.5,14,74,0.25,0,0,0,0,27.2,89.8,280,1,3
9.5,1,"1",12.875,1,0,0.5,15,83,0.25,0,0,0,0,28,111.4,269.4,1.4,1.6
15.3,0,"1",11,0.5,0,0.5,16.5,80,0,0,0,0,0,29.4,117.6,237.6,0.2,2.2
21.1,1,"1",11.5,0.25,0,0.5,17,85,0,0,0,0,0,15.75,74.5,290.75,0.5,3.5
