"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
15.9,0,"1",8.6,6,39,4,0,20.4,159.4,173,0.2,2.2
7.3,1,"1",11.98,6,3,1,0,28.25,122.75,228.25,1.25,2.75
11.9,0,"1",10.7,5.6,29,3,0,23.5,187.5,230,0.25,1
8.6,0,"1",6.675,5,15,1,0,26.25,149.75,188.5,0.75,1.75
7.8,1,"1",10.65,5.5,48,3,0.25,25.25,115.5,271.75,0.25,3
10.5,0,"1",9.56,5,35,1,0.2,15.5,82.75,172.5,1.5,2.25
12.2,0,"1",6,3.6,72,5,0,28.6,150.4,239,1,2.4
16.9,1,"1",11.08,6,99,1,0.2,23.75,168.75,178.5,1.5,1.5
20.8,1,"1",13.4,6,88,4,0.25,15.5,62,222.75,0.5,1.25
13.1,0,"1",13,6.8,51,2,0.2,17.5,168.75,120.75,0,1.5
8.1,0,"1",10.125,5.75,51,3,0,27.75,118.75,278.5,0.75,2.75
7.5,1,"1",7.025,3.5,5,1,0,13.25,69,213,1.75,2.25
12.3,1,"1",8.925,6.75,63,6,0,14.6,109,221.8,0.8,3
16,1,"1",7.96,6.8,60,4,0,27.5,111.75,264.25,0.75,2
33,1,"1",8.72,5.8,130,5,0,19.25,127.75,179.75,0.25,1.75
7.8,0,"1",16.925,7.75,38,4,0.25,11.4,74.2,195,1,3.4
21.8,0,"1",11.56,6,98,6,0,19.2,133.4,220.2,0.8,1.8
26.6,1,"1",14.14,7.6,116,6,0,31.4,121.4,301.8,1,1.4
25.8,1,"-1",15.9,7.25,118,5,0.25,26.2,113,250.4,0.8,1.6
9.6,0,"1",19.3,8.25,36,4,0.5,21.25,111.5,210,0.5,4.75
12.7,1,"1",16.25,7,37,3,0.5,21.4,122.6,231,1,1.8
7.3,0,"1",12.775,7,43,4,0.25,20.8,108.4,271.2,1.4,2.4
15.4,0,"1",11.68,8.2,51,4,0.2,17.75,107.75,188.25,0.5,1.75
13,1,"1",14.16,9,80,5,0.2,17.4,114.6,167.4,0.6,2
21.7,0,"1",11.6,9.6,97,6,0,20.6,113.8,254.8,1,2.6
10.7,0,"1",11.26,6.2,57,5,0.2,22.2,107,239.6,0.4,1.4
16.5,1,"1",12.525,7.25,65,4,0.25,18.4,118.4,208.4,0.2,2
16.8,0,"1",15.025,7.25,68,4,0.25,13.6,75.8,225,0.6,3
12.5,1,"1",18.95,9,45,2,0.25,21.75,149,218.75,1.25,3
14.9,0,"1",14.125,8.25,89,6,0,28.8,132.2,240,0.4,1.6
16.4,0,"1",15.175,8,104,3,0,20.6,119.4,237.8,0.2,3.4
