"fpts","ha","cond","l5g_avg_fpts","l5g_avg_ints","l5g_avg_tdp","l5g_avg_pa","l5g_avg_py","l5g_avg_pc","l5g_pct_pyb","l5g_avg_sacks","l5g_avg_fuml","l5g_avg_rec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
14.3,0,"1",17.656,1.8,2,40.4,269.4,20,0.4,3,0.2,0,22.2,162,218.6,0.2,1.8
15.74,1,"1",16.964,1.2,1.8,37.4,243.6,18,0.2,1,0,0,24.6,127,258.4,1.2,3.2
7.98,0,"1",20.252,0.4,1.4,31.2,228.8,19.4,0.2,1,0.2,0,25.8,105,345.6,0.6,2.4
30.02,1,"1",16.864,0.6,1,32.6,233.6,19.4,0.2,2,0.2,0,26.2,97.6,265.6,0,2
26.84,0,"1",19.485,0.5,1.75,33,229,19,0,4,0.25,0,28,129.75,158.5,0.5,2.75
17.82,1,"1",21.475,0.25,2,34.25,232.5,18.25,0,3,0.25,0,21,120.6,194,0.6,4
18.38,0,"1",20.665,1,1.75,38.75,263.5,21.5,0.25,1,0.25,0,25.25,133,203,1,2.25
13.62,0,"1",23.265,0.75,1.75,40.25,271,22.75,0.25,1,0.25,0,21.25,68,218.75,0.75,3
10.2,1,"1",19.165,1,1.25,40.5,254.75,22.5,0.25,5,0.25,0,24.75,113,213,0.75,1.5
35.24,0,"-1",17.372,1,1,38.8,243.8,21.4,0.2,0,0.2,0,18,108.75,190.75,1.25,3.5
16.1,1,"1",19.052,1,1.2,40,254.8,23.6,0.4,1,0.2,0,25.8,125.8,224.6,0.4,1.8
14.14,0,"1",18.708,0.6,1.4,37,220.2,21.6,0.2,1,0,0,28.8,108.2,327.2,0.8,1.4
15.98,1,"1",17.86,0.6,1.6,37.2,222,22.2,0.2,1,0,0,20.2,129,227.6,0.4,3
28.6,0,"1",28.036,1.2,2.8,43.2,323.4,29.4,0.8,3,0,0,17.4,132.6,253.2,1.4,1.4
24.26,1,"1",27.816,1,3,41.4,323.4,27.4,0.8,2,0.2,0,24.25,155.25,239.5,0,1.25
29.6,0,"1",28.892,0.8,2.8,43,357.8,28.8,1,2,0.4,0,21.8,90.6,250.4,1,1.4
33.66,0,"1",27.752,1.2,2.6,44.2,363.8,27.8,1,1,0.4,0,23,134.25,265.5,0.5,1.5
22.62,1,"1",29.03,0.75,3,44.25,367,25.75,1,1,0.5,0,22.75,121,283.25,0.75,3
17.02,1,"1",27.535,0.75,2.75,43,350.25,25.25,1,5,0.25,0,24.25,142.25,213.75,0.75,2.25
36.8,1,"1",25.725,0.75,2.5,40.5,327.5,23.75,0.75,1,0.5,0,22.5,96.5,250.75,1.25,2.75
24.46,0,"1",27.525,0.5,3,36,320,22,0.75,4,0.75,0,18.6,117,195,0.4,1.6
15.28,1,"1",25.225,1,2.5,37.75,305,21.75,0.5,2,1,0,15.75,89.5,243.75,0.5,2.25
14.9,0,"1",18.784,1.2,2,33.6,242.6,19.4,0.2,1,0.8,0,32.2,142,238,0.2,1.8
30.98,1,"1",15.2066666666667,2.33333333333333,1.66666666666667,38.6666666666667,251,21.6666666666667,0,3,0.333333333333333,0,19,113,229.75,0.25,4
27.02,1,"1",18.96,1.66666666666667,2,39,274,23,0.33,4,0.333333333333333,0,26.6,142,264.4,1,2.4
14.74,0,"1",24.8333333333333,1.33333333333333,2.66666666666667,41.3333333333333,301.666666666667,23.6666666666667,0.67,2,0,0,21,125.75,242.75,0.5,3
21.48,1,"1",24.2466666666667,1.66666666666667,2.66666666666667,47,292,25.3333333333333,0.67,1,0,0,15.75,94.75,168.5,1,4.5
24.38,0,"1",22.956,0.6,2,41,294.4,26.2,0.6,3,0.4,0,20.8,120.2,181,0.6,2.6
30.82,0,"1",20.132,0.8,1.4,38,267.8,24.2,0.4,2,0.4,0,20.4,93.4,235.4,0,3.6
20.4,1,"1",23.88,0.6,1.8,37.8,299,25.4,0.6,6,0.2,0,19.25,109.25,263.75,1,1.25
14.74,0,"1",23.912,0.6,2,37.4,274.8,24.4,0.4,2,0.2,0,22.25,98.75,201.5,0.5,2.25
19.68,1,"1",22.585,1,1.75,35.5,274,22.5,0.25,2,0.25,0,30,90.2,313,0.4,3.2
29.72,0,"1",18.2733333333333,1.33333333333333,1.66666666666667,33,251,19,0,1,0.333333333333333,0,21.5,107,229.25,0,1.25
19.24,1,"1",21.38,1,2.33333333333333,30.6666666666667,273.666666666667,20,0,1,0,0,22.5,72,244.25,0.5,1
18.8,0,"1",22.88,1,2.66666666666667,33.6666666666667,272,20.3333333333333,0,0,0.333333333333333,0,19.8,117,196.6,0.6,2.8
26.72,0,"1",21.86,0.75,2.5,32.25,266.5,20.5,0,0,0.25,0,22.6,121.2,215.4,1.2,2.4
23.54,1,"1",23.62,1,2.5,32.5,273,21.5,0,4,0.25,0,22.2,97,211.6,1.4,2.2
11.88,0,"1",5.62666666666667,0.666666666666667,0.666666666666667,12,100.666666666667,8.33333333333333,0,4,0,0,23,183.75,241.25,0.25,1.5
13.1,0,"1",7.19,0.5,0.75,14.25,123.5,10,0,2,0,0,18.2,55,231,0.8,3
14.6,1,"1",8.372,0.4,0.8,18.4,138.8,12.4,0,3,0.2,0,25.6,110.2,203,0.4,1.8
23.62,0,"1",20.832,0.8,1.8,32.6,254.8,20.6,0.4,2,0.2,0,31,131,237,0.5,2.75
12.24,1,"1",21.432,0.8,2,34.2,260.8,21.2,0.4,0,0.4,0,17,155.75,182.5,1.25,2.25
17.66,0,"1",17.795,1,2,30.5,218,20.25,0.25,4,0.25,0,14.5,91,210.75,0.75,1.75
15.18,1,"1",14.825,0.25,1,31.25,212.5,19.75,0.25,0,0.5,0,26.75,77.75,287.25,1,1.25
23.52,0,"1",12.715,0.5,1,31.25,217.25,20.25,0.25,2,0.25,0,29,124,247,0.25,1.25
26.52,1,"1",15.535,1.25,1.25,34.5,232.75,20.75,0.25,2,0.25,0,24,115.5,233,1.25,2.75
18.2,1,"1",17.732,1.2,1.6,36.6,245.8,22.4,0.2,2,0.2,0,25,144.8,213.2,0.8,1.8
15.32,0,"1",17.84,1.2,1.8,34.4,242,21.8,0,3,0,0,24.2,113.4,179.4,0,2.4
15.8,0,"1",19.748,1.4,2,35.6,269.2,22.8,0,0,0,0,21.6,126.4,201,0,2.2
23.26,1,"1",19.872,1.4,2,37.4,275.8,23,0,4,0,0,35.6,169.2,226.8,1.4,2
23.22,1,"1",22.08,0.25,1.5,31.75,274.5,19.25,0.25,5,0.25,0,32.4,115.8,244.6,0.6,2
24.14,0,"1",24.37,0.5,1.75,34,318,22.25,0.5,0,0.5,0,22.8,155.4,273.4,1.6,1.6
30.68,1,"1",25.72,0.5,2.25,29.25,314.25,20.75,0.5,6,0.5,0,23,89.8,265.6,1,3.4
21.24,0,"1",26.25,0.5,2.5,33.75,318.75,24,0.5,6,0.5,0,28,147.25,190.75,0.5,2
19.06,1,"1",24.82,1,2.5,33.25,289.25,21.75,0.25,4,0.25,0,18.5,91,210.75,0.75,3.75
26.06,1,"1",23.668,0.8,2.2,33.8,269.2,22.4,0.2,2,0.2,0,20.5,88,266.25,0.25,1.5
28.42,0,"1",24.236,0.6,2.2,35.4,266.4,23,0.2,1,0,0,28.25,125,300.5,0.75,0.75
21.52,1,"1",25.092,0.6,2.2,39.2,286.8,25.6,0.4,1,0.2,0,11.6,106.2,175,0.6,1.4
8.8,0,"1",23.26,1,2.2,39,282,25.6,0.4,2,0.2,0,24,150.6,211.6,0.8,2
40.52,0,"1",20.772,0.4,1.8,36.8,264.8,25.4,0.4,1,0.4,0,21,110.6,200.6,0.6,3.2
