"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_pct_pyb","l5g_avg_tdr","l5g_avg_ra","l5g_avg_ry","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_avg_tdrec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
9.5,1,"1",5.6,4.33333333333333,0,0,0,0,55,4,0,0,24,98,262.2,0.4,1.6
15.2,0,"1",6.575,5.25,0,0,0,0,72,2,0,1,18,119.8,211.2,1.4,3.2
19.7,1,"1",9.675,5,0,0,0,0,97,10,0,0,23.8,104.6,199.2,0.8,2
13,1,"1",9.85,6.75,0,0,0,0,60,7,0,0,20.25,108.25,267.75,0,1.75
9.3,1,"1",12.8,8,0,0,0,0,53,4,0,0,27.25,132.5,261.25,0.5,2.5
12,0,"1",14.725,8.5,0,0,0,0,60,6,0,0,22,122.75,220,0.5,3
12.5,1,"1",14.175,7.75,0,0,0,0,75,5,0,0,17,111,265.5,0.5,3.25
7.9,0,"1",10.38,6.4,0,0,0,0,39,4,0,0,10.8,70.2,218.8,0,2.6
29.6,1,"1",9.36,5.6,0,0,0,0,156,5,0,1,21.4,87.6,208.6,0.6,2.2
13.2,0,"1",13.42,5.4,0,0,0,0,52,2,0.2,1,22.8,85.6,259,0.6,3
20.6,1,"1",13.66,5.2,0,0,0,0,86,6,0.2,1,25.6,128.4,204.8,0.2,1.6
7.3,1,"1",12.48,7,0,0,0,0,33,4,0.2,0,28.5,104.75,213,0.75,2.25
8.7,0,"1",8.275,5.75,0,0,0,0,47,5,0,0,28.5,137.5,337.25,0.75,1.5
9.2,0,"1",7.075,6.25,0,0,0,0,42,5,0,0,25.25,107.25,268,0.25,1.5
14.3,0,"1",6.82,5.6,0,0,0,0,73,7,0,0,25.8,116,257,0.6,2.4
7.3,0,"-1",6.55,3.75,0,0,0,0,43,3,0,0,24.2,167.2,256.6,0.8,1.4
11.7,0,"1",6,3.4,0,0,0,0,27,3,0,1,20.75,93.25,244.25,0.75,2.25
12.9,1,"1",5.575,2.25,0,0,0,0,29,4,0,1,15.5,53.75,206.25,0.25,2.5
13.8,1,"1",6.625,2.75,0,0,0,0,58,3,0,1,28.8,195.4,188.8,0,2.4
16.1,0,"1",8.775,3.5,0,0,0,0,71,3,0,1,30,132.2,246,0.4,1
9.8,1,"1",6.8,3.5,0,0,0,0,48,5,0.25,0,24.25,170.75,196.25,0.25,3.5
8.2,1,"1",6.64,3.6,0,0,0,0,52,4,0.2,0,26.5,114.25,284.75,0.75,1.75
20.4,1,"1",8.25,3,0,0,0,0,134,4,0,0,26.25,124.5,245.75,0.5,3.75
14.9,1,"1",11.75,3.5,0,0,0,0,79,7,0.5,0,22.25,77.25,271.75,1,1.25
9,0,"1",12.8,5.66666666666667,0,0,0,0,10,2,0.33,1,25.5,111.5,227,0.25,2.75
10.2,1,"1",6.4,2.5,0,0,0,0,22,2,0,1,26.75,97.5,234.25,1,1.5
8,1,"1",5.82,4.8,0,0,0,0,40,4,0,0,31.4,121.4,301.8,1,1.4
