Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
103,853868093,lito2241,0,75.62,WR Tyreek Hill WR Stefon Diggs DST Lions  TE Antonio Gates QB Philip Rivers RB DeMarco Murray WR Randall Cobb FLEX Carlos Hyde RB Isaiah Crowell,,Brian Hoyer,0.97%,25.12
,,,,,,,Steelers ,0.97%,5
,,,,,,,Marshawn Lynch,0.97%,12.3
,,,,,,,Rishard Matthews,0.97%,6.1
,,,,,,,Antonio Gates,0.97%,4.3
,,,,,,,Philip Rivers,0.97%,21.82
,,,,,,,DeMarco Murray,0.97%,9.9
,,,,,,,Aaron Rodgers,0.97%,24.04
,,,,,,,Cooper Kupp,0.97%,7.4
,,,,,,,Seahawks ,0.97%,16
,,,,,,,Russell Wilson,0.97%,12.52
,,,,,,,Vikings ,0.97%,6
,,,,,,,Vance McDonald,0.97%,0
,,,,,,,Mike Gillislee,0.97%,5.2
,,,,,,,Jacoby Brissett,0.97%,21.96
,,,,,,,Deshaun Watson,0.97%,35.54
,,,,,,,Adam Thielen,0.97%,9.5
,,,,,,,LeSean McCoy,0.97%,14.9
,,,,,,,Donte Moncrief,0.97%,6.2
,,,,,,,Hunter Henry,0.97%,13.2
,,,,,,,Tyler Lockett,0.97%,6.3
,,,,,,,Dak Prescott,0.97%,30.74
