Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Kenny Golladay,4100,DET@MIN 01:00PM ET,8.26,DET
DST,Bengals,3500,CIN@CLE 01:00PM ET,8.14,CIN
WR,Cooper Kupp,4300,LAR@DAL 01:00PM ET,8.01,LAR
DST,Seahawks,4100,IND@SEA 08:30PM ET,7.81,SEA
DST,Patriots,3400,CAR@NE 01:00PM ET,7.77,NE
WR,Nelson Agholor,3900,PHI@LAC 04:05PM ET,7.73,PHI
TE,Jesse James,3000,PIT@BAL 01:00PM ET,7.71,PIT
WR,Devin Funchess,5300,CAR@NE 01:00PM ET,7.68,CAR
WR,Torrey Smith,3700,PHI@LAC 04:05PM ET,7.67,PHI
WR,Travis Benjamin,3900,PHI@LAC 04:05PM ET,7.56,LAC
DST,Jaguars,3600,JAX@NYJ 01:00PM ET,7.55,JAX
DST,Broncos,3300,OAK@DEN 04:25PM ET,7.54,DEN
WR,Tyler Lockett,4500,IND@SEA 08:30PM ET,7.51,SEA
RB,Jerick McKinnon,4000,DET@MIN 01:00PM ET,7.51,MIN
TE,Antonio Gates,2900,PHI@LAC 04:05PM ET,7.51,LAC
RB,Chris Johnson,4200,SF@ARI 04:05PM ET,7.49,ARI
RB,Jamaal Charles,4200,OAK@DEN 04:25PM ET,7.49,DEN
DST,Vikings,3100,DET@MIN 01:00PM ET,7.48,MIN
WR,Marquise Goodwin,3500,SF@ARI 04:05PM ET,7.45,SF
TE,Hunter Henry,3500,PHI@LAC 04:05PM ET,7.42,LAC
RB,Paul Perkins,3500,NYG@TB 04:05PM ET,7.41,NYG
RB,Andre Ellington,3800,SF@ARI 04:05PM ET,7.33,ARI
RB,Jonathan Stewart,4300,CAR@NE 01:00PM ET,7.31,CAR
DST,Cardinals,3200,SF@ARI 04:05PM ET,7.3,ARI
WR,John Brown,5100,SF@ARI 04:05PM ET,7.16,ARI
DST,Falcons,3200,BUF@ATL 01:00PM ET,7.12,ATL
DST,Titans,3300,TEN@HOU 01:00PM ET,7.09,TEN
DST,Steelers,3500,PIT@BAL 01:00PM ET,7,PIT
DST,Chargers,2500,PHI@LAC 04:05PM ET,6.96,LAC
RB,Chris Ivory,3800,JAX@NYJ 01:00PM ET,6.94,JAX
WR,Danny Amendola,4900,CAR@NE 01:00PM ET,6.92,NE
TE,Benjamin Watson,3600,PIT@BAL 01:00PM ET,6.91,BAL
WR,Donte Moncrief,3500,IND@SEA 08:30PM ET,6.91,IND
DST,Lions,2700,DET@MIN 01:00PM ET,6.87,DET
RB,Derrick Henry,5300,TEN@HOU 01:00PM ET,6.83,TEN
DST,Raiders,2300,OAK@DEN 04:25PM ET,6.82,OAK
WR,Rashard Higgins,4500,CIN@CLE 01:00PM ET,6.82,CLE
WR,Eli Rogers,3300,PIT@BAL 01:00PM ET,6.79,PIT
TE,Julius Thomas,2900,NO@MIA 09:30AM ET,6.78,MIA
WR,Zay Jones,3100,BUF@ATL 01:00PM ET,6.71,BUF
TE,Cameron Brate,3800,NYG@TB 04:05PM ET,6.7,TB
RB,Wendell Smallwood,4100,PHI@LAC 04:05PM ET,6.59,PHI
