Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
93,853709317,DonHo1978,0,108.56,FLEX Lamar Miller DST Bills  WR Dez Bryant RB LeGarrette Blount TE Dwayne Allen RB Le'Veon Bell WR Jarvis Landry WR Mike Evans QB Jameis Winston,,Albert Wilson,0.88%,3.8
95,853726486,Joedirt788,0,107.82,DST Vikings  QB Tom Brady WR Danny Amendola WR Jaron Brown TE Cameron Brate RB James White FLEX Austin Seferian-Jenkins WR Mike Evans RB Todd Gurley II,,Eli Manning,0.88%,15
96,853587461,ehawse,0,106.62,RB Lamar Miller DST Eagles  QB Tom Brady FLEX Frank Gore WR Jeremy Maclin WR Jarvis Landry TE Austin Seferian-Jenkins WR Mike Evans RB Todd Gurley II,,Brandin Cooks,0.88%,13.5
97,853594791,casekingz,0,106.6,WR DeAndre Hopkins DST Ravens  QB Eli Manning TE Charles Clay WR Jaron Brown RB Eddie Lacy RB Le'Veon Bell FLEX Jarvis Landry WR Sterling Shepard,,Terrance Williams,0.88%,3.4
98,853537562,MileHighDrunks,0,106.06,DST Lions  FLEX Jordy Nelson WR DeSean Jackson TE Charles Clay WR Adam Humphries QB Jameis Winston WR Cooper Kupp RB Ezekiel Elliott RB Christian McCaffrey,,Joe Mixon,0.88%,11.1
99,853607822,Garb31,0,105.26,RB Kareem Hunt DST Bills  WR Danny Amendola TE Charles Clay FLEX Chris Hogan WR Adam Humphries WR Sterling Shepard QB Jameis Winston RB Todd Gurley II,,Steelers ,0.88%,5
100,853667352,TacklingDummys,0,104.54,DST Bills  QB Aaron Rodgers WR Jordy Nelson FLEX Danny Amendola RB LeGarrette Blount WR Randall Cobb WR DeVante Parker RB Duke Johnson Jr. TE Hunter Henry,,Mike Tolbert,0.88%,6.4
101,853644059,ncjonyoung,0,104.36,DST Bills  WR Dez Bryant TE Dwayne Allen RB Le'Veon Bell RB James White FLEX Austin Seferian-Jenkins WR Mike Evans WR DeVante Parker QB Jameis Winston,,Alshon Jeffery,0.88%,6.1
102,853681838,legacycaptain11,0,101.46,DST Cowboys  WR DeSean Jackson WR Dez Bryant TE Charles Clay FLEX Aldrick Robinson RB Le'Veon Bell RB Ameer Abdullah WR Mike Evans QB Jameis Winston,,Carson Wentz,0.88%,31.26
103,853602625,DaenerysStormborn,0,100.76,TE Zach Miller DST Cowboys  RB LeGarrette Blount WR Terrance Williams RB Le'Veon Bell WR Jarvis Landry WR Mike Evans QB Jameis Winston FLEX Todd Gurley II,,Mike Gillislee,0.88%,5.2
104,853789770,iamtheone69,0,99.26,DST Cardinals  FLEX Benjamin Watson RB Le'Veon Bell WR Jarvis Landry TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,J.J. Nelson,0.88%,12.4
105,853420705,lorenl,0,99.04001,RB Lamar Miller DST Bills  QB Aaron Rodgers WR Rishard Matthews FLEX Ameer Abdullah TE Austin Seferian-Jenkins WR Mike Evans WR Robby Anderson RB Ezekiel Elliott,,Titans ,0.88%,9
106,853730804,chobson1962,0,95.32,WR Adam Thielen DST Buccaneers  QB Tom Brady RB Frank Gore FLEX Jimmy Graham RB Carlos Hyde TE Cameron Brate WR Keenan Allen WR DeVante Parker,,Markus Wheaton,0.88%,1.4
107,853564911,charder30,0,93.36,DST Eagles  WR Jaron Brown RB Carlos Hyde WR Chris Hogan TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston RB Todd Gurley II FLEX Evan Engram,,Aaron Jones,0.88%,23.4
108,853780830,icealford,0,89.25999,DST Vikings  WR Jaron Brown FLEX Carlos Hyde WR Jarvis Landry WR Adam Humphries TE Jesse James QB Jameis Winston RB Todd Gurley II RB Ezekiel Elliott,,Julius Thomas,0.88%,2.5
109,853532647,KeepUpWithTheJones,0,88.22,RB Latavius Murray DST 49ers  QB Tom Brady TE Jared Cook WR Pierre Garcon RB LeGarrette Blount WR Chris Hogan WR DeVante Parker FLEX Todd Gurley II,,Isaiah Crowell,0.88%,8.7
110,853499439,jaynuggs,0,87.74001,WR DeAndre Hopkins RB Tarik Cohen DST Chargers  QB Carson Palmer TE Delanie Walker WR Golden Tate WR Jaron Brown RB Jay Ajayi FLEX DeVante Parker,,Tyler Kroft,0.88%,7.8
111,853624662,Kylecunn,0,84.35999,WR Stefon Diggs DST Browns  TE Delanie Walker RB Mike Tolbert WR Alshon Jeffery RB Jay Ajayi QB Carson Wentz FLEX Ezekiel Elliott WR Trent Taylor,,Kenny Stills,0.88%,2.3
